Time_s,Lat_deg,Lon_deg,Alt_m_MSL,Heading_deg,Pitch_deg,Roll_deg,TAS_mps,GroundSpeed_mps,VerticalSpeed_mps,Target_WP_Index,Keyboard_Active_Flag,LookAngle_deg,DepressionAngle_deg
0.5000,35.3000060,-117.9985849,1748.97,89.4315,5.0000,-30.0000,134.958,129.814,11.762,1,0,90.7932,-30.3454
1.0000,35.3000251,-117.9978571,1757.94,88.2292,7.5000,-32.3871,137.458,132.316,17.942,1,0,92.2941,-32.5272
1.5000,35.3000587,-117.9971163,1770.09,86.9324,10.0000,-31.2124,139.958,134.821,24.303,1,0,93.8050,-31.0078
2.0000,35.3001058,-117.9963865,1785.27,85.7157,12.5000,-29.9427,140.262,133.012,30.358,1,0,95.1415,-29.2893
2.5000,35.3001655,-117.9956458,1801.95,84.5616,13.7500,-28.7516,140.368,135.248,33.364,1,0,96.3662,-27.6773
3.0000,35.3002374,-117.9949060,1819.39,83.4631,14.3750,-27.6226,140.485,135.376,34.878,1,0,97.5063,-26.1621
3.5000,35.3003207,-117.9941672,1837.22,82.4162,14.6875,-26.5484,140.608,135.510,35.651,1,0,98.5753,-24.7323
4.0000,35.3004150,-117.9934234,1855.25,81.4176,14.8438,-25.5249,140.733,136.775,36.054,1,0,99.5824,-23.3782
4.5000,35.3005199,-117.9926872,1873.38,80.4641,14.9219,-24.5490,140.861,135.790,36.272,1,0,100.5335,-22.0927
5.0000,35.3006347,-117.9919525,1891.58,79.5528,14.9609,-23.6171,140.989,135.933,36.398,1,0,101.4343,-20.8687
5.5000,35.3007591,-117.9912193,1909.82,78.6812,14.9805,-22.7267,141.117,136.077,36.477,1,0,102.2896,-19.7019
6.0000,35.3008926,-117.9904876,1928.09,77.8470,14.9902,-21.8753,141.246,136.222,36.534,1,0,103.1034,-18.5883
6.5000,35.3010350,-117.9897577,1946.38,77.0482,14.9951,-21.0605,141.376,136.367,36.579,1,0,103.8795,-17.5248
7.0000,35.3011857,-117.9890294,1964.68,76.2827,14.9976,-20.2803,141.506,136.514,36.619,1,0,104.6208,-16.5085
7.5000,35.3013444,-117.9883029,1983.01,75.5488,14.9988,-19.5328,141.636,136.660,36.655,1,0,105.3303,-15.5369
8.0000,35.3015109,-117.9875915,2001.36,74.8449,14.9994,-18.8163,141.766,134.479,36.690,1,0,106.0096,-14.6081
8.5000,35.3016848,-117.9868684,2019.72,74.1694,14.9997,-18.1285,141.897,136.955,36.725,1,0,106.6623,-13.7188
9.0000,35.3018657,-117.9861472,2038.10,73.5210,14.9998,-17.4691,142.028,137.103,36.759,1,0,107.2895,-12.8685
9.5000,35.3020535,-117.9854277,2056.50,72.8983,14.9999,-16.8362,142.160,137.251,36.793,1,0,107.8930,-12.0548
10.0000,35.3022478,-117.9847185,2074.91,72.3000,15.0000,-16.2284,142.291,135.934,36.828,1,0,108.4738,-11.2761
10.5000,35.3024484,-117.9840025,2093.34,71.7252,15.0000,-15.6442,142.423,137.548,36.862,1,0,109.0341,-10.5301
11.0000,35.3026550,-117.9832860,2111.79,71.1726,15.0000,-15.0832,142.556,138.076,36.896,1,0,109.5748,-9.8160
11.5000,35.3028675,-117.9825734,2130.25,70.6413,15.0000,-14.5441,142.688,137.845,36.930,1,0,110.0967,-9.1323
12.0000,35.3030855,-117.9818625,2148.74,70.1303,15.0000,-14.0256,142.821,137.994,36.965,1,0,110.6009,-8.4772
12.5000,35.3033089,-117.9811532,2167.24,69.6387,15.0000,-13.5270,142.954,138.143,36.999,1,0,111.0884,-7.8496
13.0000,35.3035375,-117.9804455,2185.75,69.1658,15.0000,-13.0473,143.088,138.292,37.034,1,0,111.5599,-7.2482
13.5000,35.3037710,-117.9797393,2204.29,68.7106,15.0000,-12.5859,143.222,138.441,37.068,1,0,112.0161,-6.6719
14.0000,35.3040094,-117.9790347,2222.84,68.2725,15.0000,-12.1417,143.356,138.590,37.103,1,0,112.4578,-6.1194
14.5000,35.3042524,-117.9783316,2241.41,67.8508,15.0000,-11.7142,143.490,138.739,37.138,1,0,112.8856,-5.5898
15.0000,35.3044998,-117.9776299,2259.99,67.4446,15.0000,-11.3027,143.625,138.888,37.173,1,0,113.3000,-5.0820
15.5000,35.3047516,-117.9769296,2278.60,67.0536,15.0000,-10.9064,143.760,139.037,37.208,1,0,113.7017,-4.5950
16.0000,35.3050075,-117.9762405,2297.22,66.6769,15.0000,-10.5248,143.895,137.549,37.243,1,0,114.0906,-4.1281
16.5000,35.3052674,-117.9755429,2315.86,66.3140,15.0000,-10.1568,144.031,139.335,37.278,1,0,114.4682,-3.6797
17.0000,35.3055311,-117.9748465,2334.52,65.9645,15.0000,-9.8027,144.167,139.484,37.313,1,0,114.8345,-3.2498
17.5000,35.3057986,-117.9741514,2353.19,65.6277,15.0000,-9.4615,144.303,139.633,37.348,1,0,115.1899,-2.8374
18.0000,35.3060696,-117.9734574,2371.88,65.3031,15.0000,-9.1328,144.440,139.783,37.384,1,0,115.5347,-2.4416
18.5000,35.3063442,-117.9727646,2390.59,64.9903,15.0000,-8.8160,144.577,139.932,37.419,1,0,115.8695,-2.0618
19.0000,35.3066221,-117.9720729,2409.32,64.6888,15.0000,-8.5106,144.714,140.081,37.455,1,0,116.1944,-1.6972
19.5000,35.3069032,-117.9713822,2428.06,64.3982,15.0000,-8.2163,144.852,140.230,37.490,1,0,116.5100,-1.3471
20.0000,35.3071875,-117.9706926,2446.83,64.1181,15.0000,-7.9326,144.990,140.379,37.526,1,0,116.8164,-1.0111
20.5000,35.3074748,-117.9700039,2465.61,63.8480,15.0000,-7.6591,145.128,140.528,37.562,1,0,117.1141,-0.6884
21.0000,35.3077650,-117.9693205,2484.41,63.5876,15.0000,-7.3953,145.266,139.968,37.598,1,0,117.4030,-0.3785
21.5000,35.3080581,-117.9686336,2503.22,63.3365,15.0000,-7.1408,145.405,140.827,37.634,1,0,117.6840,-0.0807
22.0000,35.3083539,-117.9679534,2522.06,63.0943,15.0000,-6.8955,145.545,140.040,37.670,1,0,117.9566,0.2051
22.5000,35.3086524,-117.9672682,2540.91,62.8608,15.0000,-6.6587,145.684,141.126,37.706,1,0,118.2220,0.4800
23.0000,35.3089534,-117.9665774,2559.78,62.6356,15.0000,-6.4306,145.824,142.286,37.742,1,0,118.4803,0.7439
23.5000,35.3092570,-117.9658936,2578.67,62.4184,15.0000,-6.2108,145.964,141.425,37.778,1,0,118.7311,0.9972
24.0000,35.3095630,-117.9651991,2597.58,62.2089,15.0000,-5.9985,146.105,143.394,37.815,1,0,118.9755,1.2411
24.5000,35.3098713,-117.9645166,2616.50,62.0067,15.0000,-5.7941,146.246,141.724,37.851,1,0,119.2127,1.4748
25.0000,35.3101819,-117.9638348,2635.45,61.8118,15.0000,-5.5965,146.387,141.873,37.888,1,0,119.4433,1.6999
25.5000,35.3104947,-117.9631535,2654.41,61.6236,15.0000,-5.4058,146.529,142.023,37.924,1,0,119.6677,1.9163
26.0000,35.3108096,-117.9624727,2673.39,61.4421,15.0000,-5.2218,146.670,142.173,37.961,1,0,119.8860,2.1243
26.5000,35.3111266,-117.9617924,2692.39,61.2670,15.0000,-5.0442,146.813,142.323,37.998,1,0,120.0984,2.3242
27.0000,35.3114456,-117.9611254,2711.41,61.0981,15.0000,-4.8729,146.955,140.470,38.035,1,0,120.3044,2.5163
27.5000,35.3117666,-117.9604460,2730.44,60.9350,15.0000,-4.7069,147.098,142.623,38.072,1,0,120.5057,2.7017
28.0000,35.3120894,-117.9597652,2749.50,60.7777,15.0000,-4.5473,147.241,143.046,38.109,1,0,120.7016,2.8795
28.5000,35.3124141,-117.9590866,2768.57,60.6259,15.0000,-4.3933,147.385,142.924,38.146,1,0,120.8923,3.0504
29.0000,35.3127406,-117.9584158,2787.66,60.4794,15.0000,-4.2446,147.529,141.900,38.183,1,0,121.0776,3.2148
29.5000,35.3130689,-117.9577378,2806.77,60.3380,15.0000,-4.1007,147.673,143.226,38.221,1,0,121.2585,3.3732
